price,area,bathrooms,floor,total_floors,furnishing,transaction,location
4200000,500,1,10,11,0,0,67
9800000,473,2,3,22,1,0,67
14000000,779,2,10,29,0,0,67
2500000,530,1,1,3,0,0,67
16000000,635,2,20,42,0,0,67
1650000,550,1,4,5,0,0,67
16000000,900,3,3,27,0,0,67
14000000,950,2,6,20,1,0,67
42500000,1820,4,18,27,1,0,67
9000000,675,2,10,16,0,1,67
3700000,647,1,5,7,0,1,67
9000000,600,2,20,28,0,0,67
5400000,430,1,3,7,1,0,67
16500000,665,2,15,31,0,0,67
8500000,557,2,2,28,0,0,67
12800000,870,2,27,27,1,0,67
2400000,288,1,3,8,0,0,67
17500000,925,3,8,20,2,0,67
4700000,434,1,9,24,1,1,67
32000000,1350,3,16,27,0,0,67
19800000,850,2,14,29,1,0,67
8300000,467,2,12,27,1,0,67
14200000,849,3,1,27,1,0,67
5400000,440,2,2,7,2,0,67
11800000,639,2,16,38,0,1,67
3500000,600,2,2,7,0,0,67
7000000,923,2,2,7,1,0,67
11000000,620,1,5,7,1,0,67
10500000,550,2,6,28,0,0,67
2400000,367,1,1,4,1,0,67
7800000,600,2,5,7,0,0,67
15500000,880,2,7,16,1,0,67
4700000,380,1,2,7,0,0,67
2300000,375,1,7,12,1,0,67
10000000,636,2,10,10,0,0,67
7000000,600,2,14,17,0,0,67
12000000,661,2,21,27,1,0,67
5100000,686,2,5,8,0,0,67
15500000,950,3,7,30,0,0,67
3000000,504,1,6,18,0,0,67
19000000,799,2,14,28,1,0,67
6000000,320,1,2,24,1,1,67
8500000,650,2,3,4,2,0,67
4300000,586,2,1,8,0,0,67
26000000,1200,3,7,7,1,0,67
15500000,741,2,4,28,1,0,67
26500000,1200,3,4,26,1,0,67
6000000,590,2,7,7,0,0,67
11000000,960,3,1,17,0,0,67
24000000,1168,3,20,32,0,1,67
4500000,500,1,8,9,0,0,67
20000000,1200,3,3,9,2,0,67
16000000,920,2,8,27,0,0,67
2200000,400,1,4,4,0,0,67
7900000,460,2,2,7,1,0,67
4800000,404,1,8,19,0,0,67
7520000,624,2,3,7,0,1,67
2800000,510,1,2,2,0,0,67
7700000,450,2,15,30,0,0,67
2500000,550,1,3,7,1,0,67
5300000,420,2,21,26,1,0,67
16500000,744,2,5,12,1,0,67
11900000,740,2,5,14,1,0,67
6800000,479,2,0,7,1,0,67
5000000,445,1,5,16,0,1,67
9000000,686,2,3,28,1,0,67
40000000,1600,4,4,20,1,0,67
4800000,625,1,1,4,2,0,67
6859999,739,2,3,5,0,1,67
4430000,410,1,1,4,1,0,67
5500000,775,2,10,12,0,0,67
3300000,400,1,3,7,0,0,67
16500000,759,2,10,30,0,0,67
9500000,530,2,13,26,1,0,67
21000000,1041,3,5,7,0,0,67
9700000,735,2,5,28,0,0,67
2700000,370,1,2,4,0,0,67
4500000,770,2,1,6,0,0,67
5400000,430,1,2,7,1,0,67
5000000,410,1,3,7,1,0,67
4290000,688,2,3,20,0,1,67
7500000,640,2,7,15,0,0,67
10000000,680,2,6,13,0,0,67
23600000,1073,3,2,29,0,1,67
34500000,1356,3,20,35,0,1,67
4800000,400,1,3,7,0,0,67
5600000,483,2,13,31,0,0,67
4550000,453,2,3,23,0,1,67
5500000,750,2,3,4,0,0,67
16000000,800,2,19,19,1,0,67
17000000,760,2,11,18,1,0,67
6000000,500,2,4,4,2,0,67
49000000,1704,4,18,30,0,0,67
5800000,587,2,10,20,0,1,67
10000000,699,2,2,19,1,0,67
27500000,1350,3,16,23,0,0,67
16500000,763,2,3,30,0,1,67
25000000,1140,3,8,8,0,1,67
17500000,889,3,17,27,1,0,67
2900000,490,1,1,4,0,0,67
5300000,415,1,4,7,0,0,67
30000000,1140,3,11,26,1,0,67
13200000,735,2,12,30,0,0,67
10500000,490,1,5,7,0,1,67
7900000,452,1,4,6,0,0,67
6000000,450,1,7,7,0,0,67
13000000,894,3,10,14,1,0,67
10600000,640,2,14,32,0,0,67
10700000,640,2,15,32,0,0,67
17100000,758,2,6,29,0,1,67
16000000,894,3,1,20,1,0,67
22900000,1153,3,28,32,0,1,67
4150000,671,1,3,20,0,1,67
12500000,1170,3,12,12,2,0,67
8300000,600,2,12,21,0,0,67
14700000,848,2,30,36,1,0,67
11299999,650,2,23,32,0,0,67
18500000,913,6,7,15,0,0,67
6300000,366,1,25,30,0,0,67
14500000,750,2,12,22,1,0,67
15000000,706,2,26,27,0,0,67
6490000,612,2,3,23,0,1,67
11000000,730,2,9,19,1,0,67
3400000,510,1,6,18,0,0,67
7250000,961,2,4,24,0,0,67
36600000,1228,3,21,26,1,1,67
3500000,480,2,7,8,0,0,67
8600000,551,2,19,30,0,0,67
7500000,435,1,10,30,0,0,67
5500000,430,2,3,7,1,0,67
33000000,1359,3,12,19,0,0,67
13000000,640,2,15,30,0,0,67
5800000,495,2,10,31,0,0,67
3600000,510,1,11,18,1,1,67
29500000,1650,4,1,29,2,0,67
5600000,540,1,3,6,0,0,67
11500000,650,2,24,32,0,0,67
29900000,1300,2,21,28,1,0,67
13000000,870,2,4,7,2,1,67
19000000,830,2,16,22,1,1,67
6100000,763,2,19,24,0,0,67
5800000,480,2,7,19,0,0,67
4800000,370,1,0,5,1,0,67
4300000,454,1,14,23,1,1,67
16500000,750,2,5,14,1,0,67
15900000,721,2,2,29,0,1,67
6300000,575,2,7,19,1,0,67
19300000,790,2,4,30,0,1,67
29900000,1100,3,12,27,1,0,67
7000000,700,2,1,14,0,0,67
19900000,790,2,19,30,0,1,67
9800000,500,2,7,13,2,0,67
7200000,850,2,3,7,1,0,67
35900000,1203,3,23,35,1,1,67
3250000,438,1,6,7,2,0,67
3700000,510,2,17,18,0,0,67
32000000,1350,3,16,27,0,0,67
4000000,546,1,2,4,0,0,67
6000000,379,2,2,21,1,1,67
4500000,500,1,2,2,0,0,67
5500000,495,1,7,31,0,0,67
26000000,1012,3,10,18,1,0,67
4900000,526,2,20,26,0,1,67
3100000,692,2,2,7,0,0,67
15600000,879,2,14,19,0,0,67
4850000,410,1,3,7,0,0,67
4700000,400,1,7,12,0,0,67
8500000,640,2,9,16,0,0,67
52000000,2024,6,8,18,1,0,67
18000000,630,2,12,18,1,0,67
2700000,375,1,3,3,0,0,67
6300000,435,2,8,16,0,0,67
8400000,650,2,7,7,1,0,67
7500000,450,1,1,7,2,0,67
3900000,511,1,5,7,0,0,67
15400000,702,2,2,29,0,1,67
4500000,440,1,5,14,1,0,67
9500000,663,2,18,20,0,0,67
8200000,453,2,6,40,0,0,67
3000000,475,1,2,4,2,0,67
4700000,330,1,9,16,1,0,67
8500000,650,2,5,11,1,0,67
19000000,1011,3,6,16,1,0,67
3250000,500,1,8,12,1,0,67
11000000,650,2,20,32,0,0,67
30000000,1190,3,5,12,0,0,67
2400000,420,1,4,7,1,0,67
21100000,790,2,18,30,0,1,67
3600000,450,1,2,7,0,1,67
19500000,1090,3,10,28,0,0,67
5000000,400,1,5,7,0,0,67
6300000,438,1,6,16,1,0,67
15500000,833,2,19,23,0,0,67
10000000,900,3,5,7,0,0,67
30000000,1300,3,14,29,1,0,67
14500000,720,1,1,2,0,0,67
10900000,640,2,17,32,0,0,67
2100000,345,2,3,5,2,0,67
3000000,385,2,4,4,0,0,67
2810000,384,2,19,36,0,1,67
7600000,450,2,13,27,1,0,67
11100000,650,2,21,32,0,0,67
3500000,510,2,8,18,0,0,67
22000000,810,2,29,30,0,1,67
17600000,800,2,2,29,0,1,67
8500000,670,2,5,7,1,0,67
4950000,500,2,2,24,0,1,67
17700000,804,2,2,29,0,1,67
23500000,1040,3,16,28,1,0,67
10900000,672,2,22,29,0,0,67
3500000,500,1,1,1,0,0,67
11399999,650,2,23,32,0,0,67
3300000,450,2,10,18,0,0,67
4000000,525,1,1,4,0,0,67
6500000,620,2,23,24,0,1,67
5100000,434,2,5,7,1,0,67
15500000,769,2,11,17,0,0,67
27900000,1260,3,11,32,0,1,67
7100000,630,2,21,24,1,1,67
16500000,900,3,8,20,1,0,67
13000000,455,2,16,30,1,0,67
16100000,559,2,26,30,2,0,67
5600000,263,1,25,36,0,0,67
70400000,2200,5,7,26,0,0,67
1950000,280,1,1,5,0,0,67
3200000,375,1,3,4,1,0,67
18500000,758,2,9,29,0,1,67
5200000,540,1,7,12,1,0,67
3800000,290,1,3,4,1,0,67
18000000,758,2,11,29,0,1,67
10800000,640,2,16,32,0,0,67
